RA,Nome,Gênero,Turma,Escola,Instituição de ensino,Ativo/ Inativo,Ano ingresso,Fase,Fase Ideal,Defasagem,Pedra 2024,INDE 2022,INDE 2023,INDE 2024,Data de Nasc,Idade,Pedra 20,Pedra 21,Pedra 22,Pedra 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Avaliador4,Avaliador5,Avaliador6,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,Ano
RA-1415,Aluno-1415,Feminino,1G,EM Maria Ignez Concelles Irma Ines,Pública,Cursando,2024,1G,Fase 2 (5° e 6° ano),-1,Ametista,,,7.3712454546,2014-05-17 00:00:00,10,,,,,,,,3,Avaliador-16,,Avaliador-3,,Avaliador-15,,,,8.002,9.7727272725,6.26,7.291666667,,6.75,6.5,7.0,,,,7.056666667,5.0,,,,2024
RA-1416,Aluno-1416,Feminino,1G,EE Loris Nassif Mattar Profa,Pública,Cursando,2024,1G,Fase 2 (5° e 6° ano),-1,Ametista,,,7.375503030400001,2012-10-06 00:00:00,12,,,,,,,,3,Avaliador-16,,Avaliador-3,,Avaliador-15,,,,8.502,8.2765151515,7.51,7.916666667,,7.75,6.5,9.0,,,,6.386666667,5.0,,,,2024
RA-1417,Aluno-1417,Masculino,1G,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2024,1G,Fase 2 (5° e 6° ano),-1,Ametista,,,7.7436242424,2014-04-29 00:00:00,10,,,,,,,,3,Avaliador-16,,Avaliador-3,,Avaliador-15,,,,9.002,9.337121212,7.51,6.25,,9.0,10.0,8.0,,,,6.5,5.0,,,,2024
RA-1418,Aluno-1418,Masculino,1G,EM Pedro Antonio de Almeida,Pública,Cursando,2024,1G,Fase 2 (5° e 6° ano),-1,Ametista,,,7.7352909091000015,2013-07-18 00:00:00,11,,,,,,,,3,Avaliador-16,,Avaliador-3,,Avaliador-15,,,,8.502,9.128787879,7.51,7.916666667,,8.25,8.5,8.0,,,,6.833333333,5.0,,,,2024
RA-1419,Aluno-1419,Feminino,1H,EM Pedro Antonio de Almeida,Pública,Cursando,2024,1H,Fase 1 (3° e 4° ano),0,Topázio,,,8.7536999999,2014-08-17 00:00:00,10,,,,,,,,3,Avaliador-3,,Avaliador-16,,Avaliador-15,,,,8.502,10.0,7.51,8.958333333,,7.5,6.0,9.0,,,,8.783333333,10.0,,,,2024
RA-1420,Aluno-1420,Masculino,1H,EE Olivia de Faria Nogueira,Pública,Cursando,2024,1H,Fase 3 (7° e 8° ano),-2,Quartzo,,,5.6558,2012-06-21 00:00:00,12,,,,,,,,3,Avaliador-3,,Avaliador-16,,Avaliador-15,,,,7.918,5.520833333500001,6.26,6.458333333,,4.5,5.0,4.0,,,,5.44,5.0,,,,2024
RA-1421,Aluno-1421,Masculino,1H,EM Pedro Antonio de Almeida,Pública,Cursando,2024,1H,Fase 2 (5° e 6° ano),-1,Ametista,,,7.126922222200001,2013-10-14 00:00:00,11,,,,,,,,3,Avaliador-3,,Avaliador-16,,Avaliador-15,,,,9.002,6.777777778,7.51,6.875,,7.5,8.0,7.0,,,,7.163333333,5.0,,,,2024
RA-1422,Aluno-1422,Feminino,1J,EE João Ortiz Rodrigues,Pública,Cursando,2024,1J,Fase 2 (5° e 6° ano),-1,Ametista,,,7.0132,2013-02-24 00:00:00,11,,,,,,,,4,Avaliador-16,,Avaliador-18,,Avaliador-15,Avaliador-2,,,9.502,7.5,7.51,8.125,,4.75,0.0,9.5,,,,7.7475,5.0,,,,2024
RA-1423,Aluno-1423,Masculino,1J,EE João Ortiz Rodrigues,Pública,Cursando,2024,1J,Fase 2 (5° e 6° ano),-1,Agata,,,6.403450000000001,2013-01-09 00:00:00,11,,,,,,,,4,Avaliador-16,,Avaliador-18,,Avaliador-15,Avaliador-2,,,8.502,5.3125,7.51,7.8125,,5.75,4.0,7.5,,,,6.5425,5.0,,,,2024
RA-1424,Aluno-1424,Feminino,1J,EE João Ortiz Rodrigues,Pública,Cursando,2024,1J,Fase 2 (5° e 6° ano),-1,Ametista,,,7.5543388889,2012-07-19 00:00:00,12,,,,,,,,4,Avaliador-16,,Avaliador-18,,Avaliador-15,Avaliador-2,,,9.002,8.9444444445,7.51,7.8125,,7.25,7.5,7.0,,,,6.915,5.0,,,,2024
RA-1425,Aluno-1425,Masculino,1J,EE João Ortiz Rodrigues,Pública,Cursando,2024,1J,Fase 2 (5° e 6° ano),-1,Agata,,,6.8290988095000005,2012-10-19 00:00:00,12,,,,,,,,4,Avaliador-16,,Avaliador-18,,Avaliador-15,Avaliador-2,,,9.002,6.7976190475,7.51,7.34375,,7.0,6.0,8.0,,,,5.92,5.0,,,,2024
RA-1426,Aluno-1426,Feminino,1J,EE Leonice de Aquino Oliveira,Pública,Cursando,2023,1J,Fase 2 (5° e 6° ano),-1,Quartzo,,,5.8367476190000005,2013-04-08 00:00:00,11,,,,,,,,4,Avaliador-16,,Avaliador-18,,Avaliador-15,Avaliador-2,,,9.502,5.845238095,7.51,7.5,,2.75,5.5,0.0,,,,5.8325,5.0,,,,2024
RA-1427,Aluno-1427,Feminino,1J,EM Maria Ignez Concelles Irma Ines,Pública,Cursando,2024,1J,Fase 2 (5° e 6° ano),-1,Topázio,,,8.425325,2013-08-26 00:00:00,11,,,,,,,,4,Avaliador-16,,Avaliador-18,,Avaliador-15,Avaliador-2,,,9.502,10.0,7.51,8.90625,,8.0,6.5,9.5,,,,8.6675,5.0,,,,2024
RA-1428,Aluno-1428,Masculino,1L,EM Cecilia Cristina de Oliveira Rodrigues,Pública,Cursando,2024,1L,Fase 2 (5° e 6° ano),-1,Topázio,,,8.006108496800001,2013-12-02 00:00:00,10,,,,,,,,2,Avaliador-15,,Avaliador-2,,,,,,8.502,8.8562091505,7.51,9.166666667,,8.0,7.0,9.0,,,,8.085,5.0,,,,2024
RA-1429,Aluno-1429,Masculino,1L,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2024,1L,Fase 2 (5° e 6° ano),-1,Topázio,,,8.041811111100001,2013-07-05 00:00:00,11,,,,,,,,2,Avaliador-15,,Avaliador-2,,,,,,9.502,8.888888889,7.51,8.958333333,,7.75,8.5,7.0,,,,8.085,5.0,,,,2024
RA-143,Aluno-143,Masculino,7E,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,7E,Fase 5 (1° EM),2,Ametista,8.63847438888889,7.794358333,7.449366666666667,2009-08-01 00:00:00,15,Topázio,Topázio,Topázio,Ametista,,,,0,,,,,,,,,10.002,9.92,6.885,7.5,,2.6333333333333333,0.0,0.0,7.9,,,7.5,10.0,,,,2024
RA-1430,Aluno-1430,Masculino,1L,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2024,1L,Fase 2 (5° e 6° ano),-1,Ametista,,,7.864033333300001,2013-09-15 00:00:00,11,,,,,,,,2,Avaliador-15,,Avaliador-2,,,,,,8.502,10.0,7.51,8.958333333,,6.25,6.0,6.5,,,,8.085,5.0,,,,2024
RA-1431,Aluno-1431,Feminino,1M,EE Neide Celestina de Oliveira,Pública,Cursando,2024,1M,Fase 2 (5° e 6° ano),-1,Ametista,,,7.9147292443,2013-01-06 00:00:00,11,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,9.002,7.7432712215,7.51,7.96875,,8.0,8.0,8.0,,,,9.09,5.0,,,,2024
RA-1432,Aluno-1432,Feminino,1M,EE Jardim Campestre,Pública,Cursando,2024,1M,Fase 2 (5° e 6° ano),-1,Topázio,,,8.774075000000002,2014-03-31 00:00:00,10,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,10.002,10.0,7.51,9.21875,,9.5,10.0,9.0,,,,8.505,5.0,,,,2024
RA-1433,Aluno-1433,Feminino,1M,EE Jardim Campestre,Pública,Cursando,2024,1M,Fase 2 (5° e 6° ano),-1,Topázio,,,8.1939895962,2014-05-26 00:00:00,10,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,8.502,9.068322981,7.51,8.28125,,8.75,8.0,9.5,,,,8.505,5.0,,,,2024
RA-1434,Aluno-1434,Masculino,1M,EE Jardim Campestre,Pública,Cursando,2024,1M,Fase 2 (5° e 6° ano),-1,Topázio,,,8.2775982919,2014-02-28 00:00:00,10,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,8.502,7.9813664595,6.26,9.53125,,9.0,10.0,8.0,,,,9.76,5.0,,,,2024
RA-1435,Aluno-1435,Masculino,1M,EE Jardim Campestre,Pública,Cursando,2024,1M,Fase 1 (3° e 4° ano),0,Ametista,,,7.7196166667,2014-10-25 00:00:00,10,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,9.502,7.833333333500001,7.51,7.1875,,7.5,7.5,7.5,,,,6.165,10.0,,,,2024
RA-1436,Aluno-1436,Feminino,1M,EM Alfredo Schunk,Pública,Cursando,2024,1M,Fase 2 (5° e 6° ano),-1,Ametista,,,7.589914648100001,2013-06-24 00:00:00,11,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,7.418,8.674948240500001,7.51,8.28125,,8.0,8.0,8.0,,,,7.17,5.0,,,,2024
RA-1437,Aluno-1437,Feminino,1M,EM Cecilia Cristina de Oliveira Rodrigues,Pública,Cursando,2024,1M,Fase 2 (5° e 6° ano),-1,Ametista,,,7.982890217400001,2013-06-29 00:00:00,11,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,8.502,9.347826087,7.51,8.28125,,8.0,8.0,8.0,,,,7.92,5.0,,,,2024
RA-1438,Aluno-1438,Feminino,1M,EM Bairro Lagoa Grande,Pública,Cursando,2024,1M,Fase 2 (5° e 6° ano),-1,Topázio,,,8.176825000000001,2013-11-08 00:00:00,10,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,10.002,9.0,7.51,8.90625,,7.0,6.0,8.0,,,,9.175,5.0,,,,2024
RA-1439,Aluno-1439,Feminino,1M,EE Jardim Campestre,Pública,Cursando,2024,1M,Fase 2 (5° e 6° ano),-1,Topázio,,,8.507700000000002,2013-10-12 00:00:00,11,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,7.502,10.0,7.51,9.375,,8.5,9.0,8.0,,,,9.345,5.0,,,,2024
RA-1440,Aluno-1440,Feminino,1M,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2024,1M,Fase 2 (5° e 6° ano),-1,Ametista,,,7.469102691500001,2014-03-08 00:00:00,10,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,9.002,9.544513457499999,7.51,8.75,,4.5,9.0,0.0,,,,8.17,5.0,,,,2024
RA-1441,Aluno-1441,Masculino,1M,EE Jardim Campestre,Pública,Cursando,2024,1M,Fase 1 (3° e 4° ano),0,Topázio,,,8.961646169800002,2015-01-21 00:00:00,9,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,9.502,9.109730849,7.51,9.375,,8.5,9.0,8.0,,,,9.005,10.0,,,,2024
RA-1442,Aluno-1442,Masculino,1M,EM Cecilia Cristina de Oliveira Rodrigues,Pública,Cursando,2024,1M,Fase 3 (7° e 8° ano),-2,Ametista,,,7.135189648100001,2010-12-28 00:00:00,13,,,,,,,,2,Avaliador-17,,Avaliador-2,,,,,,8.002,8.674948240500001,7.51,7.5,,7.25,8.5,6.0,,,,5.745,5.0,,,,2024
RA-1443,Aluno-1443,Feminino,1N,EE Donizetti Aparecido Leite Professor,Pública,Cursando,2024,1N,Fase 3 (7° e 8° ano),-2,Agata,,,6.921633333300001,2011-05-20 00:00:00,13,,,,,,,,2,Avaliador-15,,Avaliador-2,,,,,,6.918,7.5,6.26,7.708333333,,6.75,6.5,7.0,,,,7.415,5.0,,,,2024
RA-1444,Aluno-1444,Masculino,1N,EE Donizetti Aparecido Leite Professor,Pública,Cursando,2024,1N,Fase 2 (5° e 6° ano),-1,Agata,,,6.610588888900001,2012-12-12 00:00:00,11,,,,,,,,2,Avaliador-15,,Avaliador-2,,,,,,8.502,5.277777778,7.51,7.708333333,,6.0,8.0,4.0,,,,7.415,5.0,,,,2024
RA-1445,Aluno-1445,Feminino,1N,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2024,1N,Fase 2 (5° e 6° ano),-1,Ametista,,,7.842866666700001,2014-02-12 00:00:00,10,,,,,,,,2,Avaliador-15,,Avaliador-2,,,,,,9.502,9.5,7.51,7.916666667,,7.25,6.5,8.0,,,,7.5,5.0,,,,2024
RA-1446,Aluno-1446,Masculino,1N,EM Cecilia Cristina de Oliveira Rodrigues,Pública,Cursando,2024,1N,Fase 1 (3° e 4° ano),0,Quartzo,,,5.9004061924,2014-12-27 00:00:00,9,,,,,,,,2,Avaliador-15,,Avaliador-2,,,,,,8.002,6.6501976285,6.26,7.291666667,,0.0,0.0,0.0,,,,7.075,10.0,,,,2024
RA-1447,Aluno-1447,Feminino,1N,EE Donizetti Aparecido Leite Professor,Pública,Cursando,2024,1N,Fase 2 (5° e 6° ano),-1,Ametista,,,7.5402350878,2012-12-06 00:00:00,11,,,,,,,,2,Avaliador-15,,Avaliador-2,,,,,,9.502,9.7368421055,7.51,7.916666667,,5.25,6.5,4.0,,,,7.75,5.0,,,,2024
RA-1448,Aluno-1448,Feminino,1P,EE Donizetti Aparecido Leite Professor,Pública,Cursando,2024,1P,Fase 3 (7° e 8° ano),-2,Ametista,,,7.466126406900001,2011-10-28 00:00:00,13,,,,,,,,4,Avaliador-3,,Avaliador-18,,Avaliador-17,Avaliador-15,,,9.002,9.5346320345,7.51,7.5,,6.0,6.0,6.0,,,,7.29,5.0,,,,2024
RA-1449,Aluno-1449,Feminino,1R,EE Luiz Schunck,Pública,Cursando,2024,1R,Fase 2 (5° e 6° ano),-1,Ametista,,,7.214341666700001,2014-06-27 00:00:00,10,,,,,,,,4,Avaliador-18,,Avaliador-17,,Avaliador-15,Avaliador-2,,,7.418,8.3333333335,7.51,7.96875,,6.75,6.5,7.0,,,,7.04,5.0,,,,2024
RA-1450,Aluno-1450,Masculino,1R,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2024,1R,Fase 1 (3° e 4° ano),0,Ametista,,,7.405235714200002,2015-01-10 00:00:00,9,,,,,,,,4,Avaliador-18,,Avaliador-17,,Avaliador-15,Avaliador-2,,,9.502,8.571428571,7.51,7.8125,,3.5,0.0,7.0,,,,7.5425,10.0,,,,2024
RA-1451,Aluno-1451,Feminino,1R,EE Luiz Schunck,Pública,Cursando,2024,1R,Fase 2 (5° e 6° ano),-1,Ametista,,,7.560479761900002,2013-08-27 00:00:00,11,,,,,,,,4,Avaliador-18,,Avaliador-17,,Avaliador-15,Avaliador-2,,,10.002,8.8095238095,7.51,7.96875,,6.0,6.0,6.0,,,,7.7525,5.0,,,,2024
RA-1452,Aluno-1452,Masculino,2A,EE Leonice de Aquino Oliveira,Pública,Cursando,2024,2A,Fase 2 (5° e 6° ano),0,Topázio,,,8.6268666667,2012-09-07 00:00:00,12,,,,,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,9.002,10.0,7.51,7.916666667,,7.75,7.0,8.5,,,,8.17,10.0,,,,2024
RA-1453,Aluno-1453,Feminino,2A,EE Leonice de Aquino Oliveira,Pública,Cursando,2021,2A,Fase 3 (7° e 8° ano),-1,Ametista,,,7.1234857143,2012-01-16 00:00:00,12,,,,,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,8.502,7.8214285715,6.25,7.5,,6.5,4.5,8.5,,,,7.67,5.0,,,,2024
RA-1454,Aluno-1454,Feminino,2A,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,2A,Fase 2 (5° e 6° ano),0,Ametista,,,7.7042238095,2014-03-31 00:00:00,10,,,,,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,8.002,5.880952381,7.51,7.708333333,,7.75,7.5,8.0,,,,8.28,10.0,,,,2024
RA-1455,Aluno-1455,Feminino,2A,EE Maria André Schunck Dona,Pública,Cursando,2024,2A,Fase 3 (7° e 8° ano),-1,Agata,,,6.6442555555,2012-04-23 00:00:00,12,,,,,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,8.002,7.777777778,7.51,7.708333333,,3.5,,3.5,,,,7.833333333,5.0,,,,2024
RA-1456,Aluno-1456,Masculino,2A,EE Leonice de Aquino Oliveira,Pública,Cursando,2024,2A,Fase 2 (5° e 6° ano),0,Topázio,,,8.492914285800001,2012-12-03 00:00:00,11,,,,,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,9.502,9.511904762,7.51,7.5,,7.75,5.5,10.0,,,,7.946666667,10.0,,,,2024
RA-1457,Aluno-1457,Feminino,2B,EE Leonice de Aquino Oliveira,Pública,Cursando,2024,2B,Fase 3 (7° e 8° ano),-1,Agata,,,6.0197761904,2011-11-08 00:00:00,12,,,,,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,3.498,8.0357142855,7.51,7.291666667,,2.75,2.5,3.0,,,,7.663333333,5.0,,,,2024
RA-1458,Aluno-1458,Feminino,2B,EE Alexandre Rodrigues Nogueira,Pública,Cursando,2024,2B,Fase 3 (7° e 8° ano),-1,Quartzo,,,5.879073684200001,2012-02-22 00:00:00,12,,,,,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,8.751,7.280701754500001,7.51,6.041666667,,3.25,0.5,6.0,,,,5.213333333,5.0,,,,2024
RA-1459,Aluno-1459,Masculino,2C,EE Olivia de Faria Nogueira,Pública,Cursando,2024,2C,Fase 3 (7° e 8° ano),-1,Agata,,,6.665390476100001,2012-03-21 00:00:00,12,,,,,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,8.002,8.2976190475,7.51,7.5,,3.75,2.0,5.5,,,,7.273333333,5.0,,,,2024
RA-146,Aluno-146,Feminino,5D,EE Mario Francisco de Amorim,Pública,Cursando,2022,5D,Fase 7 (3° EM),-2,Topázio,7.946686340802987,7.584483333,8.134554885333333,2007-06-06 00:00:00,17,,,Ametista,Ametista,,,,5,Avaliador-23,,Avaliador-26,,Avaliador-22,Avaliador-1,Avaliador-5,,8.751,9.514316093333333,5.635,7.65625,,9.333333333333334,9.0,9.0,10.0,,,8.304,5.0,,,,2024
RA-1460,Aluno-1460,Masculino,2C,EE Alexandre Rodrigues Nogueira,Pública,Cursando,2024,2C,Fase 2 (5° e 6° ano),0,Agata,,,6.784805263200001,2012-08-27 00:00:00,12,,,,,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,9.502,7.460526316,7.51,6.875,,3.25,2.5,4.0,,,,6.27,10.0,,,,2024
RA-1461,Aluno-1461,Feminino,2C,EE Leonice de Aquino Oliveira,Pública,Cursando,2024,2C,Fase 3 (7° e 8° ano),-1,Agata,,,6.871961904800001,2012-01-10 00:00:00,12,,,,,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,10.002,9.273809524,7.51,7.5,,2.75,0.5,5.0,,,,7.33,5.0,,,,2024
RA-1462,Aluno-1462,Feminino,2D,EE Joaquim Mendes Feliz,Pública,Cursando,2024,2D,Fase 3 (7° e 8° ano),-1,Ametista,,,7.6243666666,2010-12-14 00:00:00,13,,,,,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,8.502,10.0,7.51,8.125,,6.5,6.0,7.0,,,,7.053333333,5.0,,,,2024
RA-1463,Aluno-1463,Masculino,2D,EE Paschoal Carlos Magno,Pública,Cursando,2024,2D,Fase 2 (5° e 6° ano),0,Topázio,,,9.074561111000001,2012-11-05 00:00:00,12,,,,,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,8.502,9.722222222,7.51,9.0625,,10.0,10.0,10.0,,,,8.113333333,10.0,,,,2024
RA-1464,Aluno-1464,Feminino,2D,EE Paschoal Carlos Magno,Pública,Cursando,2024,2D,Fase 3 (7° e 8° ano),-1,Ametista,,,7.288424359,2011-07-14 00:00:00,13,,,,,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,8.002,7.794871795,7.51,9.0625,,6.25,4.0,8.5,,,,7.61,5.0,,,,2024
RA-1465,Aluno-1465,Masculino,2D,EE Paschoal Carlos Magno,Pública,Cursando,2024,2D,Fase 3 (7° e 8° ano),-1,Ametista,,,7.3344666666,2011-11-26 00:00:00,12,,,,,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,7.418,8.75,7.51,8.75,,5.75,5.0,6.5,,,,7.833333333,5.0,,,,2024
RA-1466,Aluno-1466,Masculino,2D,EE Paschoal Carlos Magno,Pública,Cursando,2024,2D,Fase 2 (5° e 6° ano),0,Topázio,,,8.213723809600001,2012-08-24 00:00:00,12,,,,,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,10.002,7.380952381,7.51,8.75,,7.5,7.0,8.0,,,,8.056666667,10.0,,,,2024
RA-1467,Aluno-1467,Masculino,2D,EE Joaquim Mendes Feliz,Pública,Cursando,2024,2D,Fase 2 (5° e 6° ano),0,Topázio,,,8.836711278200001,2012-08-02 00:00:00,12,,,,,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,9.002,9.022556391,7.51,8.75,,9.25,9.0,9.5,,,,8.28,10.0,,,,2024
RA-1468,Aluno-1468,Feminino,2D,EE Joaquim Mendes Feliz,Pública,Cursando,2024,2D,Fase 2 (5° e 6° ano),0,Topázio,,,8.1281028822,2012-08-02 00:00:00,12,,,,,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,8.502,8.972431078,7.51,8.4375,,7.0,4.5,9.5,,,,7.443333333,10.0,,,,2024
RA-1469,Aluno-1469,Masculino,2D,EE Joaquim Mendes Feliz,Pública,Cursando,2024,2D,Fase 3 (7° e 8° ano),-1,Ametista,,,7.459755555500001,2011-03-26 00:00:00,13,,,,,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,8.502,9.4444444445,7.51,8.75,,4.75,6.0,3.5,,,,8.223333333,5.0,,,,2024
RA-147,Aluno-147,Feminino,5F,EE Joaquim Mendes Feliz,Pública,Cursando,2022,5F,Fase 6 (2° EM),-1,Ametista,7.540822106753813,5.5425,7.400477922133334,2008-03-19 00:00:00,16,,,Ametista,Quartzo,,,,3,Avaliador-24,,Avaliador-1,,Avaliador-7,,,,8.334,9.277056277,7.51,7.5,,6.166666666666667,6.0,2.5,10.0,,,7.386666667,5.0,,,,2024
RA-1470,Aluno-1470,Feminino,2G,EE Leonice de Aquino Oliveira,Pública,Cursando,2024,2G,Fase 3 (7° e 8° ano),-1,Quartzo,,,5.967421532000001,2012-02-17 00:00:00,12,,,,,,,,4,Avaliador-19,,Avaliador-16,,Avaliador-25,Avaliador-2,,,8.002,6.35610766,6.26,6.875,,5.0,5.0,5.0,,,,5.4125,5.0,,,,2024
RA-1471,Aluno-1471,Masculino,2G,EE Loris Nassif Mattar Profa,Pública,Cursando,2024,2G,Fase 3 (7° e 8° ano),-1,Ametista,,,7.404455434800001,2011-08-08 00:00:00,13,,,,,,,,4,Avaliador-19,,Avaliador-16,,Avaliador-25,Avaliador-2,,,10.002,7.195652174,7.51,7.65625,,7.5,8.0,7.0,,,,7.2425,5.0,,,,2024
RA-1472,Aluno-1472,Masculino,2G,EE Leonice de Aquino Oliveira,Pública,Cursando,2022,2G,Fase 2 (5° e 6° ano),0,Topázio,,,8.773575000000001,2012-11-19 00:00:00,11,,,,,,,,4,Avaliador-19,,Avaliador-16,,Avaliador-25,Avaliador-2,,,8.502,10.0,7.51,7.96875,,8.75,9.0,8.5,,,,8.1275,10.0,,,,2024
RA-1473,Aluno-1473,Masculino,2G,EE Loris Nassif Mattar Profa,Pública,Cursando,2024,2G,Fase 3 (7° e 8° ano),-1,Agata,,,6.689320600500001,2011-07-06 00:00:00,13,,,,,,,,4,Avaliador-19,,Avaliador-16,,Avaliador-25,Avaliador-2,,,9.502,8.4368530025,5.625,6.5625,,5.25,6.0,4.5,,,,6.415,5.0,,,,2024
RA-1474,Aluno-1474,Feminino,2H,EE João Ortiz Rodrigues,Pública,Cursando,2024,2H,Fase 2 (5° e 6° ano),0,Ametista,,,7.384207505200001,2013-01-05 00:00:00,11,,,,,,,,4,Avaliador-19,,Avaliador-17,,Avaliador-25,Avaliador-2,,,8.002,7.960662526,5.625,6.71875,,7.5,7.0,8.0,,,,6.2875,10.0,,,,2024
RA-1475,Aluno-1475,Feminino,2I,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2024,2I,Fase 2 (5° e 6° ano),0,Ametista,,,7.413901754400001,2013-11-20 00:00:00,10,,,,,,,,3,Avaliador-19,,Avaliador-17,,Avaliador-2,,,,9.002,8.070175439,7.51,7.5,,5.0,7.0,3.0,,,,6.993333333,10.0,,,,2024
RA-1476,Aluno-1476,Feminino,2K,EE Maria André Schunck Dona,Pública,Cursando,2024,2K,Fase 2 (5° e 6° ano),0,Topázio,,,8.80795,2013-01-22 00:00:00,11,,,,,,,,4,Avaliador-17,,Avaliador-19,,Avaliador-25,Avaliador-2,,,9.502,10.0,5.635,8.4375,,8.5,8.0,9.0,,,,8.7525,10.0,,,,2024
RA-1477,Aluno-1477,Masculino,2K,EE Maria André Schunck Dona,Pública,Cursando,2024,2K,Fase 2 (5° e 6° ano),0,Ametista,,,7.0514989130000005,2012-12-27 00:00:00,11,,,,,,,,4,Avaliador-17,,Avaliador-19,,Avaliador-25,Avaliador-2,,,8.002,8.010869565,7.51,6.40625,,5.0,5.0,5.0,,,,6.2875,10.0,,,,2024
RA-1478,Aluno-1478,Masculino,2K,EE Maria André Schunck Dona,Pública,Cursando,2024,2K,Fase 2 (5° e 6° ano),0,Agata,,,6.7210333334,2012-11-11 00:00:00,11,,,,,,,,4,Avaliador-17,,Avaliador-19,,Avaliador-25,Avaliador-2,,,8.002,6.666666667,6.255,6.875,,4.25,4.0,4.5,,,,7.1225,10.0,,,,2024
RA-1479,Aluno-1479,Masculino,2K,EE Maria André Schunck Dona,Pública,Cursando,2024,2K,Fase 2 (5° e 6° ano),0,Agata,,,6.615766239300001,2012-10-27 00:00:00,12,,,,,,,,4,Avaliador-17,,Avaliador-19,,Avaliador-25,Avaliador-2,,,8.502,6.1965811965,7.51,7.1875,,4.25,4.0,4.5,,,,6.0325,10.0,,,,2024
RA-1480,Aluno-1480,Masculino,2K,EM Alfredo Schunk,Pública,Cursando,2024,2K,Fase 3 (7° e 8° ano),-1,Ametista,,,7.09445,2011-12-31 00:00:00,12,,,,,,,,4,Avaliador-17,,Avaliador-19,,Avaliador-25,Avaliador-2,,,8.502,8.875,7.51,7.1875,,5.5,,5.5,,,,6.9975,5.0,,,,2024
RA-1481,Aluno-1481,Feminino,2K,EM Cecilia Cristina de Oliveira Rodrigues,Pública,Cursando,2024,2K,Fase 3 (7° e 8° ano),-1,Agata,,,6.860721739100001,2012-02-10 00:00:00,12,,,,,,,,4,Avaliador-17,,Avaliador-19,,Avaliador-25,Avaliador-2,,,8.502,8.782608695499999,7.51,6.875,,4.75,4.0,5.5,,,,6.8275,5.0,,,,2024
RA-1482,Aluno-1482,Masculino,2K,EM Cecilia Cristina de Oliveira Rodrigues,Pública,Cursando,2024,2K,Fase 3 (7° e 8° ano),-1,Quartzo,,,5.2257,2010-11-05 00:00:00,14,,,,,,,,4,Avaliador-17,,Avaliador-19,,Avaliador-25,Avaliador-2,,,8.502,5.0,7.51,7.5,,0.0,0.0,0.0,,,,6.8725,5.0,,,,2024
