RA,Nome,Gênero,Turma,Instituição de ensino,Ano ingresso,Fase,Fase Ideal,Defasagem,Pedra 2023,INDE 2022,INDE 2023,Data de Nasc,Idade,Pedra 20,Pedra 21,Pedra 22,Pedra 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,Ano
RA-861,Aluno-861,Feminino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,9.31095,6/17/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,10.0,8.13,8.4375,,9.6,9.8,9.4,,,,8.92,10.0,,,,2023
RA-862,Aluno-862,Masculino,ALFA A - G0/G1,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,,8.2212,5/31/2014,9.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,8.5,9.1,8.14,7.5,,8.9,8.5,9.2,,,,8.585,5.0,,,,2023
RA-863,Aluno-863,Masculino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Quartzo,,5.92975,2/25/2016,7.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,7.6,3.14,5.9375,,6.3,7.0,5.5,,,,6.26,10.0,,,,2023
RA-864,Aluno-864,Feminino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Ametista,,7.034,2015-12-03 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,7.6,8.14,7.5,,6.3,7.0,5.5,,,,8.5,10.0,,,,2023
RA-865,Aluno-865,Masculino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.1552,11/13/2014,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,8.5,8.7,7.52,7.5,,7.4,7.3,7.5,,,,7.915,10.0,,,,2023
RA-866,Aluno-866,Feminino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Ametista,,7.679,2016-10-02 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,8.3,8.76,7.5,,8.6,8.2,8.9,,,,8.415,10.0,,,,2023
RA-867,Aluno-867,Masculino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.6992,6/29/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,8.6,8.76,7.5,,8.9,8.7,9.0,,,,8.415,10.0,,,,2023
RA-868,Aluno-868,Masculino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.63895,2015-08-11 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,10.0,9.5,8.76,7.1875,,7.1,7.8,6.3,,,,8.67,10.0,,,,2023
RA-869,Aluno-869,Feminino,ALFA A - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,9.2587,1/15/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,10.0,8.76,8.125,,9.6,9.8,9.4,,,,8.75,10.0,,,,2023
RA-870,Aluno-870,Feminino,ALFA A - G0/G1,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Quartzo,,4.909,10/20/2014,9.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,8.5,8.76,5.0,,1.5,2.0,1.0,,,,5.165,5.0,,,,2023
RA-871,Aluno-871,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Agata,,6.8617,6/21/2014,9.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.5,3.76,4.375,,6.9,6.8,7.0,,,,6.84,5.0,,,,2023
RA-872,Aluno-872,Feminino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 2 (5° e 6° ano),-2,Quartzo,,5.267,5/27/2013,10.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,6.7,2.52,6.25,,4.3,5.5,3.0,,,,8.5,5.0,,,,2023
RA-873,Aluno-873,Feminino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 2 (5° e 6° ano),-2,Ametista,,7.8012,2012-01-03 00:00:00,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.5,9.7,7.52,6.25,,7.0,7.2,6.8,,,,8.67,5.0,,,,2023
RA-874,Aluno-874,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Quartzo,,5.811,11/17/2013,9.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,8.2,7.52,6.25,,4.8,6.3,3.3,,,,6.67,5.0,,,,2023
RA-875,Aluno-875,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,,8.2712,4/26/2014,9.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.5,7.52,7.5,,7.3,7.0,7.5,,,,9.845,5.0,,,,2023
RA-876,Aluno-876,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.6492,2015-11-04 00:00:00,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.4,7.52,7.5,,7.5,7.3,7.7,,,,8.835,10.0,,,,2023
RA-877,Aluno-877,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,,7.4722,6/24/2014,9.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.5,7.52,5.0,,6.9,7.5,6.2,,,,7.5,5.0,,,,2023
RA-878,Aluno-878,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 2 (5° e 6° ano),-2,Agata,,6.24,7/22/2013,10.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.5,2.52,5.0,,8.1,8.0,8.2,,,,7.34,5.0,,,,2023
RA-879,Aluno-879,Feminino,ALFA B - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Agata,,6.8225,2014-05-03 00:00:00,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.8,2.52,6.875,,8.2,8.2,8.2,,,,8.915,5.0,,,,2023
RA-880,Aluno-880,Feminino,ALFA B - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Agata,,6.724,11/29/2015,7.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.4,2.52,6.25,,6.3,6.3,6.2,,,,8.585,10.0,,,,2023
RA-881,Aluno-881,Masculino,ALFA B - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Ametista,,7.7322,4/23/2015,8.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,8.9,7.52,5.0,,7.3,7.5,7.0,,,,6.25,10.0,,,,2023
RA-882,Aluno-882,Feminino,ALFA C - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Agata,,6.0092,6/15/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.0,8.6,2.52,3.75,,4.7,4.8,4.5,,,,4.16,10.0,,,,2023
RA-883,Aluno-883,Feminino,ALFA C - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.5082,2015-11-02 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.5,9.7,6.89,6.25,,8.4,8.0,8.7,,,,8.17,10.0,,,,2023
RA-884,Aluno-884,Feminino,ALFA C - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.4587,2015-02-12 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.0,9.7,4.39,6.875,,8.8,8.4,9.2,,,,8.66,10.0,,,,2023
RA-885,Aluno-885,Masculino,ALFA C - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.8252,10/30/2015,7.0,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.0,9.8,7.52,7.5,,8.7,8.5,8.8,,,,8.665,10.0,,,,2023
RA-886,Aluno-886,Feminino,ALFA C - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.6422,2016-05-01 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,8.5,9.4,7.52,7.5,,8.1,7.6,8.5,,,,9.0,10.0,,,,2023
RA-887,Aluno-887,Masculino,ALFA C - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.6718,10/16/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,8.9,8.9,7.52,7.5,,8.4,7.8,9.0,,,,9.09,10.0,,,,2023
RA-888,Aluno-888,Masculino,ALFA C - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.9182,2016-11-04 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.0,10.0,7.52,7.5,,8.8,8.2,9.3,,,,8.83,10.0,,,,2023
RA-889,Aluno-889,Masculino,ALFA C - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.8092,2015-07-07 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,8.5,9.5,6.89,7.5,,9.1,8.7,9.5,,,,9.0,10.0,,,,2023
RA-890,Aluno-890,Masculino,ALFA C - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Agata,,6.989,2/26/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,0.0,9.1,2.52,6.25,,8.3,8.0,8.6,,,,8.16,10.0,,,,2023
RA-891,Aluno-891,Feminino,ALFA C - G0/G1,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,,7.8882,2014-03-10 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.5,9.5,6.89,7.5,,7.5,6.2,8.8,,,,7.995,5.0,,,,2023
RA-684,Aluno-684,Masculino,ALFA D - G2/G3,Privada,2022,ALFA,ALFA (1° e 2° ano),0,Ametista,8.26,7.4277,1/15/2015,8.0,,,Topázio,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,8.1,7.52,6.875,,6.5,8.3,4.7,,,,5.84,10.0,,,,2023
RA-892,Aluno-892,Masculino,ALFA D - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.8112,1/16/2015,8.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.0,9.6,6.89,7.5,,8.3,8.5,8.0,,,,10.01,10.0,,,,2023
RA-857,Aluno-857,Feminino,ALFA D - G2/G3,Pública,2022,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,8.154,8.1442,11/21/2013,9.0,,,Topázio,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.5,9.0,7.52,7.5,,8.5,8.7,8.2,,,,9.01,5.0,,,,2023
RA-893,Aluno-893,Masculino,ALFA D - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,,8.8042,2014-05-10 00:00:00,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,10.0,7.52,7.5,,9.3,9.5,9.0,,,,10.01,5.0,,,,2023
RA-894,Aluno-894,Feminino,ALFA D - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,,8.8142,4/14/2014,9.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.9,7.52,7.5,,9.4,9.3,9.5,,,,10.01,5.0,,,,2023
RA-690,Aluno-690,Feminino,ALFA D - G2/G3,Pública,2022,ALFA,Fase 2 (5° e 6° ano),-2,Topázio,7.541,8.6112,2013-01-09 00:00:00,,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.8,6.89,7.5,,9.1,9.3,8.8,,,,10.01,5.0,,,,2023
RA-895,Aluno-895,Feminino,ALFA D - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.5397,5/27/2015,8.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.5,7.52,6.875,,6.8,6.8,6.7,,,,9.5,10.0,,,,2023
RA-896,Aluno-896,Masculino,ALFA D - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,9.0912,12/24/2015,7.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,10.0,6.89,7.5,,8.5,9.0,8.0,,,,10.01,10.0,,,,2023
RA-693,Aluno-693,Feminino,ALFA D - G2/G3,Pública,2022,ALFA,ALFA (1° e 2° ano),0,Topázio,7.944,9.0112,2015-03-04 00:00:00,,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.4,6.89,7.5,,8.5,8.2,8.7,,,,10.01,10.0,,,,2023
RA-675,Aluno-675,Masculino,ALFA D - G2/G3,Pública,2022,ALFA,ALFA (1° e 2° ano),0,Topázio,7.576,8.3577,2014-09-11 00:00:00,,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,8.0,7.52,6.875,,8.3,8.5,8.0,,,,8.34,10.0,,,,2023
RA-850,Aluno-850,Masculino,ALFA D - G2/G3,Pública,2022,ALFA,Fase 1 (3° e 4° ano),-1,Agata,7.641,6.06525,1/22/2014,9.0,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,7.9,6.26,6.5625,,7.3,6.8,7.7,,,,6.265,5.0,,,,2023
RA-897,Aluno-897,Masculino,ALFA D - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Quartzo,,5.48225,2014-02-08 00:00:00,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,8.1,7.52,6.5625,,6.5,7.2,5.7,,,,3.32,5.0,,,,2023
RA-842,Aluno-842,Feminino,ALFA E - G2/G3,Pública,2022,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,7.952,7.2117,5/13/2014,9.0,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,8.5,3.77,5.625,,7.9,8.2,7.5,,,,8.01,5.0,,,,2023
RA-898,Aluno-898,Masculino,ALFA E - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,,8.4217,2014-03-06 00:00:00,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.8,3.77,8.125,,9.4,9.7,9.0,,,,10.01,5.0,,,,2023
RA-899,Aluno-899,Masculino,ALFA E - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.8452,3/27/2015,8.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.8,3.77,7.5,,9.5,9.3,9.6,,,,9.34,10.0,,,,2023
RA-900,Aluno-900,Feminino,ALFA E - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.8947,3/18/2015,8.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.8,9.38,8.125,,7.8,8.0,7.5,,,,8.67,10.0,,,,2023
RA-846,Aluno-846,Feminino,ALFA E - G2/G3,Pública,2022,ALFA,ALFA (1° e 2° ano),0,Ametista,7.412,7.4637,5/15/2015,8.0,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,8.2,3.77,5.625,,6.0,6.3,5.7,,,,8.67,10.0,,,,2023
RA-901,Aluno-901,Masculino,ALFA E - G2/G3,Pública,2023,ALFA,Fase 2 (5° e 6° ano),-2,Ametista,,7.3112,12/30/2012,10.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.5,8.7,3.77,6.25,,7.5,7.7,7.3,,,,8.595,5.0,,,,2023
RA-743,Aluno-743,Feminino,ALFA E - G2/G3,Pública,2022,ALFA,Fase 2 (5° e 6° ano),-2,Agata,6.672,6.659,8/31/2013,10.0,,,Ágata,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.1,3.77,7.5,,7.1,7.3,6.8,,,,9.01,5.0,,,,2023
RA-681,Aluno-681,Masculino,ALFA E - G2/G3,Pública,2022,ALFA,Fase 2 (5° e 6° ano),-2,Agata,7.204,6.2955,12/14/2012,10.0,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,7.8,3.77,5.625,,8.3,8.8,7.8,,,,8.18,5.0,,,,2023
RA-902,Aluno-902,Masculino,ALFA E - G2/G3,Pública,2023,ALFA,Fase 3 (7° e 8° ano),-3,Quartzo,,5.97345,10/24/2011,12.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.3,2.52,5.3125,,3.9,4.5,3.3,,,,6.5,2.5,,,,2023
RA-903,Aluno-903,Feminino,ALFA E - G2/G3,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.5242,2015-04-04 00:00:00,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.6,5.02,7.5,,7.8,7.7,7.8,,,,9.01,10.0,,,,2023
RA-851,Aluno-851,Masculino,ALFA E - G2/G3,Pública,2022,ALFA,Fase 1 (3° e 4° ano),-1,Agata,7.515,6.1683,2014-03-03 00:00:00,,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.4,7.5,2.52,5.625,,6.6,6.8,6.3,,,,6.01,5.0,,,,2023
RA-847,Aluno-847,Masculino,ALFA E - G2/G3,Pública,2022,ALFA,Fase 2 (5° e 6° ano),-2,Agata,6.839,6.5418,4/30/2013,10.0,,,Ágata,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,7.9,9.1,2.52,5.0,,7.6,7.5,7.6,,,,5.84,5.0,,,,2023
RA-904,Aluno-904,Feminino,ALFA F - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.140783333,2016-12-02 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,9.3,7.52,7.8125,,6.4,6.0,6.8,,,,7.836666667,10.0,,,,2023
RA-858,Aluno-858,Masculino,ALFA F - G0/G1,Pública,2022,ALFA,ALFA (1° e 2° ano),0,Ametista,7.523,7.248833333,2015-09-02 00:00:00,,,,Ametista,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,8.1,3.77,8.125,,9.3,9.3,9.2,,,,7.946666667,10.0,,,,2023
RA-905,Aluno-905,Masculino,ALFA F - G0/G1,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,,7.831033333,11/27/2013,9.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,9.4,7.52,6.875,,8.3,7.5,9.0,,,,7.056666667,5.0,,,,2023
RA-702,Aluno-702,Feminino,ALFA F - G0/G1,Pública,2022,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,7.387,8.239866667,2014-03-02 00:00:00,,,,Ametista,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,10.0,10.0,5.63,7.5,,9.3,9.3,9.3,,,,7.833333333,5.0,,,,2023
RA-725,Aluno-725,Masculino,ALFA F - G0/G1,Pública,2022,ALFA,Fase 1 (3° e 4° ano),-1,Topázio,6.33,8.117366667,9/30/2014,9.0,,,Ágata,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,9.0,7.52,8.125,,8.4,8.1,8.7,,,,8.113333333,5.0,,,,2023
RA-906,Aluno-906,Masculino,ALFA F - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.1922,2015-10-06 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,7.5,9.2,7.52,7.5,,8.6,7.7,9.4,,,,6.95,10.0,,,,2023
RA-907,Aluno-907,Feminino,ALFA F - G0/G1,Privada,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.962033333,10/23/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,9.6,7.52,8.125,,9.3,9.2,9.4,,,,8.336666667,10.0,,,,2023
RA-908,Aluno-908,Feminino,ALFA F - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.479366667,2015-08-06 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,9.0,7.52,8.125,,7.9,6.7,9.0,,,,8.223333333,10.0,,,,2023
RA-909,Aluno-909,Feminino,ALFA F - G0/G1,Pública,2023,ALFA,Fase 2 (5° e 6° ano),-2,Topázio,,8.486033333,10/22/2013,10.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,10.0,9.9,7.52,8.125,,9.2,9.1,9.2,,,,8.056666667,5.0,,,,2023
RA-708,Aluno-708,Masculino,ALFA F - G0/G1,Pública,2022,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,7.282,7.5105,11/30/2013,9.0,,Topázio,Ametista,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,9.8,7.52,8.125,,9.2,8.8,9.5,,,,8.28,5.0,,,,2023
RA-910,Aluno-910,Masculino,ALFA F - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Ametista,,7.801,1/23/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,8.8,7.52,8.75,,8.9,8.8,9.0,,,,8.17,10.0,,,,2023
RA-671,Aluno-671,Masculino,ALFA G - G2/G3,Pública,2021,ALFA,Fase 2 (5° e 6° ano),-2,Agata,7.617,6.5143,2013-04-04 00:00:00,,,Ametista,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,7.9,8.3,3.14,5.625,,7.8,8.0,7.5,,,,5.68,5.0,,,,2023
RA-836,Aluno-836,Masculino,ALFA G - G2/G3,Pública,2022,ALFA,Fase 2 (5° e 6° ano),-2,Ametista,7.665,7.6417,2013-10-02 00:00:00,,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.6,6.27,6.875,,6.7,6.7,6.7,,,,8.085,5.0,,,,2023
RA-911,Aluno-911,Masculino,ALFA G - G2/G3,Pública,2023,ALFA,Fase 2 (5° e 6° ano),-2,Quartzo,,5.59545,5/19/2012,11.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,6.7,2.52,5.3125,,3.4,3.7,3.0,,,,7.01,5.0,,,,2023
RA-860,Aluno-860,Masculino,ALFA G - G2/G3,Pública,2022,ALFA,ALFA (1° e 2° ano),0,Topázio,8.136,8.2372,2015-08-01 00:00:00,,,,Topázio,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,7.0,9.8,6.89,7.5,,7.4,7.2,7.5,,,,8.34,10.0,,,,2023
RA-727,Aluno-727,Masculino,ALFA G - G2/G3,Pública,2022,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,7.736,7.6802,2014-11-08 00:00:00,,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,8.8,2.52,7.5,,8.0,8.3,7.7,,,,9.34,5.0,,,,2023
RA-739,Aluno-739,Masculino,ALFA G - G2/G3,Pública,2022,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,6.82,7.5972,1/31/2014,9.0,,,Ágata,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,8.3,7.52,6.25,,7.6,7.3,7.8,,,,8.25,5.0,,,,2023
RA-740,Aluno-740,Feminino,ALFA G - G2/G3,Privada,2022,ALFA,Fase 2 (5° e 6° ano),-2,Ametista,7.218,7.2845,8/18/2013,10.0,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,8.7,7.52,6.875,,9.1,9.0,9.2,,,,8.925,5.0,,,,2023
RA-912,Aluno-912,Feminino,ALFA G - G2/G3,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,,7.0797,6/13/2014,9.0,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,7.0,9.4,7.52,5.625,,6.3,6.2,6.3,,,,7.175,5.0,,,,2023
RA-706,Aluno-706,Feminino,ALFA G - G2/G3,Pública,2021,ALFA,Fase 2 (5° e 6° ano),-2,Ametista,7.659,7.1527,2012-10-12 00:00:00,,,Ágata,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,7.8,4.39,6.875,,7.3,6.7,7.8,,,,8.08,5.0,,,,2023
RA-840,Aluno-840,Masculino,ALFA G - G2/G3,Pública,2022,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,7.875,7.7862,2014-02-02 00:00:00,,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.0,4.38,7.5,,8.2,8.3,8.0,,,,8.59,5.0,,,,2023
RA-841,Aluno-841,Masculino,ALFA G - G2/G3,Pública,2022,ALFA,Fase 2 (5° e 6° ano),-2,Agata,7.3,6.78,12/30/2011,11.0,,,Ametista,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,7.2,7.52,7.5,,6.9,6.7,7.0,,,,9.84,5.0,,,,2023
RA-709,Aluno-709,Feminino,ALFA G - G2/G3,Pública,2022,ALFA,Fase 2 (5° e 6° ano),-2,Agata,5.313,6.6927,8/29/2012,11.0,,,Quartzo,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,7.9,7.52,5.625,,4.9,5.5,4.3,,,,6.59,5.0,,,,2023
RA-913,Aluno-913,Feminino,ALFA H - G0/G1,Pública,2023,ALFA,Fase 2 (5° e 6° ano),-2,Ametista,,7.7432,2013-02-03 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,8.0,8.5,6.89,6.25,,7.9,9.5,6.3,,,,9.245,5.0,,,,2023
RA-726,Aluno-726,Feminino,ALFA H - G0/G1,Pública,2022,ALFA,ALFA (1° e 2° ano),0,Ametista,6.985,7.3687,1/31/2015,8.0,,,Ágata,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,10.0,6.1,7.52,5.625,,6.0,6.2,5.8,,,,8.17,10.0,,,,2023
RA-914,Aluno-914,Feminino,ALFA H - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.6912,5/16/2015,8.0,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,10.0,9.2,7.52,6.25,,8.7,9.0,8.4,,,,8.67,10.0,,,,2023
RA-915,Aluno-915,Feminino,ALFA H - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Topázio,,8.5962,2015-05-08 00:00:00,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,10.0,8.4,7.52,7.5,,8.4,8.1,8.7,,,,8.67,10.0,,,,2023
RA-916,Aluno-916,Feminino,ALFA H - G0/G1,Pública,2023,ALFA,Fase 1 (3° e 4° ano),-1,Ametista,,7.3882,3/18/2014,9.0,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.5,9.7,2.52,6.25,,6.6,7.7,5.5,,,,9.005,5.0,,,,2023
RA-917,Aluno-917,Feminino,ALFA H - G0/G1,Pública,2023,ALFA,ALFA (1° e 2° ano),0,Quartzo,,5.987,12/15/2015,7.0,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,0.0,7.2,2.52,6.25,,7.0,5.3,8.7,,,,6.35,10.0,,,,2023
